date,PRECTOTCORR,T2M,RH2M,WS2M,PS
2010-01-01,0.0,13.52,44.53,1.78,99.2
2010-01-02,0.0,15.3,36.35,0.55,99.41
2010-01-03,2.16,14.77,45.32,1.34,99.39
2010-01-04,0.0,12.51,55.55,3.28,99.19
2010-01-05,0.0,11.84,55.06,2.63,98.93
2010-01-06,0.0,12.58,48.73,1.09,99.09
2010-01-07,0.0,13.55,44.32,0.96,99.3
2010-01-08,0.0,13.65,50.63,0.83,99.28
2010-01-09,0.0,12.93,45.31,1.33,99.21
2010-01-10,0.0,12.73,38.8,1.36,99.25
2010-01-11,0.0,13.07,37.52,1.57,99.28
2010-01-12,0.04,14.2,29.17,1.05,99.26
2010-01-13,4.4,11.02,74.06,1.63,99.43
2010-01-14,0.0,11.51,61.4,1.64,99.77
2010-01-15,0.0,12.51,35.9,1.86,99.78
2010-01-16,0.0,12.92,34.22,1.66,99.79
2010-01-17,0.0,14.89,28.24,1.07,99.72
2010-01-18,0.0,15.68,26.89,0.91,99.61
2010-01-19,0.0,14.77,28.87,1.48,99.42
2010-01-20,0.0,13.14,32.52,1.31,99.53
2010-01-21,0.0,14.04,29.98,1.61,99.4
2010-01-22,0.0,16.0,28.57,1.01,99.3
2010-01-23,0.0,16.76,28.93,0.93,99.29
2010-01-24,0.0,15.81,38.3,1.29,99.13
2010-01-25,0.0,15.69,42.2,0.96,99.33
2010-01-26,0.0,16.36,35.17,1.36,99.36
2010-01-27,0.0,17.18,35.95,1.08,99.32
2010-01-28,0.0,16.58,44.08,1.22,99.29
2010-01-29,0.0,17.09,43.67,1.34,99.29
2010-01-30,0.0,16.78,39.74,2.17,99.26
2010-01-31,0.0,14.62,34.91,1.7,99.23
2010-02-01,0.0,16.34,32.11,0.89,99.21
2010-02-02,0.0,15.24,36.34,1.62,99.22
2010-02-03,0.0,14.88,36.43,1.96,99.21
2010-02-04,0.0,15.62,34.68,2.1,99.24
2010-02-05,0.0,16.48,39.09,2.11,99.24
2010-02-06,0.0,17.62,39.86,1.74,99.24
2010-02-07,0.0,18.57,39.49,0.87,99.23
2010-02-08,6.34,18.29,53.1,1.49,98.72
2010-02-09,7.54,16.14,66.82,1.84,98.68
2010-02-10,0.07,14.52,63.64,1.46,99.16
2010-02-11,0.0,16.21,54.6,1.26,99.3
2010-02-12,7.73,16.42,60.16,1.5,99.29
2010-02-13,0.0,16.79,62.52,1.33,99.16
2010-02-14,0.0,16.08,33.1,1.53,98.98
2010-02-15,0.01,16.91,40.98,1.5,98.92
2010-02-16,0.0,19.5,45.09,1.24,99.1
