date,PRECTOTCORR,T2M,RH2M,WS2M,PS
2010-01-01,1.65,28.05,78.47,6.18,100.91
2010-01-02,4.57,28.17,78.27,6.67,101.01
2010-01-03,22.84,27.82,79.76,6.94,101.01
2010-01-04,18.11,27.0,84.83,6.26,100.92
2010-01-05,20.11,27.34,83.09,5.01,100.8
2010-01-06,7.04,27.65,83.17,3.34,100.78
2010-01-07,0.85,27.21,84.19,3.55,100.93
2010-01-08,2.14,27.12,84.14,4.19,101.09
2010-01-09,0.5,27.16,83.68,2.64,101.08
2010-01-10,1.55,26.95,84.97,2.22,101.14
2010-01-11,1.2,27.07,83.38,3.09,101.26
2010-01-12,0.07,27.18,80.67,4.93,101.3
2010-01-13,0.05,27.09,78.83,4.77,101.4
2010-01-14,0.53,27.23,80.43,5.07,101.41
2010-01-15,1.47,27.91,80.71,6.19,101.37
2010-01-16,0.22,27.95,78.47,7.12,101.44
2010-01-17,0.08,28.21,75.39,6.65,101.44
2010-01-18,0.04,28.29,72.34,5.68,101.39
2010-01-19,0.02,27.78,76.44,5.6,101.27
2010-01-20,0.01,27.52,75.35,5.2,101.26
2010-01-21,0.05,26.9,80.06,4.74,101.25
2010-01-22,0.01,27.31,77.37,4.45,101.21
2010-01-23,0.01,27.15,76.84,4.25,101.22
2010-01-24,0.19,27.18,81.37,4.14,101.15
2010-01-25,0.32,27.75,82.28,5.6,101.14
2010-01-26,1.41,27.71,83.01,4.97,101.18
2010-01-27,2.16,28.1,80.24,6.03,101.16
2010-01-28,4.03,28.24,80.53,6.5,101.16
2010-01-29,2.35,27.84,83.37,5.65,101.2
2010-01-30,2.11,27.58,85.25,4.62,101.2
2010-01-31,0.19,27.55,84.64,5.34,101.22
2010-02-01,0.08,27.61,84.05,5.67,101.16
2010-02-02,0.43,27.47,85.09,5.89,101.11
2010-02-03,1.07,27.63,84.93,5.7,101.08
2010-02-04,1.16,27.77,83.19,5.73,101.11
2010-02-05,1.58,27.95,80.73,5.66,101.18
2010-02-06,1.92,27.93,78.23,6.19,101.2
2010-02-07,1.99,27.87,78.46,5.94,101.18
2010-02-08,3.94,27.65,80.84,5.49,101.06
2010-02-09,2.59,27.9,80.22,4.83,101.06
2010-02-10,0.95,27.97,81.79,4.83,101.02
2010-02-11,9.01,28.21,80.53,5.74,101.12
2010-02-12,3.54,28.34,79.49,6.06,101.14
2010-02-13,0.42,28.41,74.56,5.59,101.02
2010-02-14,1.51,28.02,78.07,4.37,101.03
2010-02-15,1.82,28.36,80.57,5.87,101.03
2010-02-16,0.2,28.54,77.97,5.83,101.07
2010-02-17,0.12,28.26,77.31,5.24,101.13
2010-02-18,0.28,28.58,76.78,4.38,101.19
2010-02-19,0.23,28.28,79.22,5.02,101.28
2010-02-20,0.23,27.82,81.89,4.64,101.27
2010-02-21,0.33,27.59,81.51,3.45,101.3
2010-02-22,0.09,27.93,73.05,5.41,101.24
2010-02-23,0.05,27.55,67.82,3.4,101.13
2010-02-24,0.13,26.61,68.79,1.91,101.09
2010-02-25,0.0,26.9,73.23,3.13,101.11
2010-02-26,0.0,27.3,78.18,4.3,101.1
2010-02-27,0.0,28.07,70.7,4.71,101.08
2010-02-28,0.14,27.86,73.13,3.58,101.13
2010-03-01,0.92,27.88,72.61,4.25,101.21
2010-03-02,0.07,27.7,76.25,4.44,101.14
2010-03-03,0.1,27.41,76.51,3.03,101.07
2010-03-04,0.28,27.44,74.33,1.72,101.09
2010-03-05,4.57,27.9,73.28,2.45,101.15
2010-03-06,0.02,27.93,70.58,1.41,101.25
2010-03-07,0.02,27.54,77.39,3.25,101.24
2010-03-08,0.05,27.53,75.53,2.4,101.21
2010-03-09,0.39,27.91,69.14,2.1,101.32
2010-03-10,0.23,27.95,75.98,3.47,101.31
2010-03-11,0.86,28.41,80.21,5.18,101.36
2010-03-12,5.12,29.04,80.21,5.75,101.37
2010-03-13,0.09,28.53,79.76,4.89,101.24
2010-03-14,0.04,28.63,77.97,4.42,101.1
2010-03-15,0.0,28.44,72.51,3.45,101.1
2010-03-16,0.01,28.79,73.17,4.1,101.1
2010-03-17,0.16,29.02,75.68,4.83,101.13
2010-03-18,0.81,29.24,79.31,6.58,101.18
2010-03-19,1.04,29.2,77.33,5.19,101.08
2010-03-20,0.77,29.13,75.77,3.84,101.01
2010-03-21,0.08,28.9,76.49,3.71,100.9
2010-03-22,0.3,28.52,78.25,3.01,100.78
2010-03-23,0.44,28.2,81.11,3.37,100.75
2010-03-24,4.95,28.6,81.18,3.31,100.82
